 'species'::'rioter','cycle'::rioter_cyclesi,'time'::rioter_timesi,'name'::rioter_namesi,'x'::rioter_x_locsi,'y'::rioter_y_locsi,'state_flock'::rioter_is_in_state_flocki,'state_violent'::rioter_is_in_state_violenti,'state_retreat'::rioter_is_in_state_retreati,'spatial_incursion_detected'::rioter_spatial_incursion_detectedi,'outnumbered_detected'::rioter_outnumbered_detectedi,'feeling_target_for_arrest_detected'::rioter_feeling_target_for_arrest_detectedi,'being_arrested_detected'::rioter_being_arrested_detectedi,'unjust_arrest_around_detected'::rioter_unjust_arrest_around_detectedi,'surrounded_detected'::rioter_surrounded_detectedi,'any_police_officer_around_detected'::rioter_any_police_officer_around_detectedi,'order_to_scatter_signal_detected'::rioter_order_to_scatter_signal_detectedi,'arrest_around_detected'::rioter_arrest_around_detectedi,'has_fear_confirmed'::rioter_has_fear_confirmedi,'has_fear'::rioter_has_feari,'has_anger'::rioter_has_angeri,'has_sadness'::rioter_has_sadnessi,'has_joy'::rioter_has_joyi,'grievance'::rioter_grievancei,'arrest_proba'::rioter_arrest_probai,'aggr_police_social_liking'::rioter_aggr_police_social_likingi,'record_damage_done'::rioter_record_damage_donei,'risk_aversion'::rioter_risk_aversioni,'police_social_liking_influence'::rioter_police_social_liking_influencei,'felt_negative_emotions'::rioter_felt_negative_emotionsi,'feel_strong_negative_emotions'::rioter_feel_strong_negative_emotionsi,'current_energy'::rioter_current_energyi 
rioter,0,0.0,rioter33,35.99239738397232,22.54821947346004,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.4586500241467628,0.0,0.0,0.0,0.8530558352249578,1.0,0.0,false,300.0
rioter,0,0.0,rioter34,31.454007706552755,19.774897078831643,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.44871876292403556,0.0,0.0,0.0,0.34484987018589897,1.0,0.0,false,300.0
rioter,0,0.0,rioter35,28.146481223908307,32.771788745293556,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.6681450211090469,0.9989922145709514,0.0,0.0,0.7753150589004231,1.0,0.0,false,300.0
rioter,0,0.0,rioter36,13.82448749418437,26.00838053440778,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.15194701606072125,0.0,0.0,0.0,0.6452459056297061,1.0,0.0,false,300.0
rioter,0,0.0,rioter37,32.83378057123892,32.69182592675914,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.8271589095688958,0.0,0.0,0.0,0.5199890323048483,1.0,0.0,false,300.0
rioter,0,0.0,rioter38,46.64687662901411,19.273181228539816,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.3879160833959654,0.0,0.0,0.0,0.88300972747695,1.0,0.0,false,300.0
rioter,0,0.0,rioter39,34.58965239022356,16.65533840319341,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.21842944923466445,0.0,0.0,0.0,0.9632065673888338,1.0,0.0,false,300.0
rioter,0,0.0,rioter40,16.886782531589255,25.040125009273893,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.3899414230283065,0.0,0.0,0.0,0.7358371998472725,1.0,0.0,false,300.0
rioter,0,0.0,rioter41,39.574571168854774,16.48873575699454,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.4387453470757666,0.0,0.0,0.0,0.9498439174537516,1.0,0.0,false,300.0
rioter,0,0.0,rioter42,7.4981962836462985,29.512842308078167,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.2522999290486553,0.0,0.0,0.0,0.9517471965404135,1.0,0.0,false,300.0
rioter,0,0.0,rioter43,41.22509373485188,24.888112810762205,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.5083926331941733,0.0,0.0,0.0,0.27644342202558836,1.0,0.0,false,300.0
rioter,0,0.0,rioter44,18.594609221276013,26.43020532903379,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.5591962397890538,0.0,0.0,0.0,0.5617978449081762,1.0,0.0,false,300.0
rioter,0,0.0,rioter45,41.24529729904712,17.57520665816712,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.12956958041854583,0.0,0.0,0.0,0.42042135352030163,1.0,0.0,false,300.0
rioter,0,0.0,rioter46,40.01019976676568,25.252866059305294,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.7076557778577666,0.0,0.0,0.0,0.02607126613531308,1.0,0.0,false,300.0
